model,layer,domain,condition_a,condition_b,k,mean_jaccard,median_jaccard,mean_rank_shift,bootstrap_id
Qwen/Qwen3.5-9B,16,sensory,T_neutral,T_prompt_primary,10,0.24785002280693968,0.25,2.8062817845584838,aggregate
Qwen/Qwen3.5-9B,17,sensory,T_neutral,T_prompt_primary,5,0.20806150579613364,0.25,1.8726447321107516,aggregate
Qwen/Qwen3.5-9B,17,sensory,T_neutral,T_prompt_primary,10,0.22313568744305062,0.17647058823529413,2.84966867005702,aggregate
Qwen/Qwen3.5-9B,18,sensory,T_neutral,T_prompt_primary,5,0.2525149398126744,0.25,1.6437792161093132,aggregate
Qwen/Qwen3.5-9B,18,sensory,T_neutral,T_prompt_primary,10,0.2633235942034423,0.25,2.7118593859694182,aggregate
Qwen/Qwen3.5-9B,19,sensory,T_neutral,T_prompt_primary,5,0.16336620948271435,0.1111111111111111,2.315776699029126,aggregate
Qwen/Qwen3.5-9B,19,sensory,T_neutral,T_prompt_primary,10,0.18182266423622237,0.17647058823529413,3.3633366723172546,aggregate
Qwen/Qwen3.5-9B,20,sensory,T_neutral,T_prompt_primary,5,0.3450411808016986,0.25,1.2444714131607335,aggregate
Qwen/Qwen3.5-9B,20,sensory,T_neutral,T_prompt_primary,10,0.3445901220669022,0.3333333333333333,2.3178725535521654,aggregate
Qwen/Qwen3.5-9B,21,sensory,T_neutral,T_prompt_primary,5,0.3521408023835208,0.25,1.2134843581445522,aggregate
Qwen/Qwen3.5-9B,21,sensory,T_neutral,T_prompt_primary,10,0.3443048168305414,0.3333333333333333,2.293848136162052,aggregate
Qwen/Qwen3.5-9B,22,sensory,T_neutral,T_prompt_primary,5,0.38829600520539037,0.42857142857142855,1.1199568500539374,aggregate
Qwen/Qwen3.5-9B,22,sensory,T_neutral,T_prompt_primary,10,0.3664839054015164,0.3333333333333333,2.0843977414770296,aggregate
Qwen/Qwen3.5-9B,23,sensory,T_neutral,T_prompt_primary,5,0.34405018749678945,0.25,1.1769866954332973,aggregate
Qwen/Qwen3.5-9B,23,sensory,T_neutral,T_prompt_primary,10,0.33152764685623104,0.3333333333333333,2.287247435831578,aggregate
Qwen/Qwen3.5-9B,24,sensory,T_neutral,T_prompt_primary,5,0.46347237204842384,0.42857142857142855,0.8880978065444085,aggregate
Qwen/Qwen3.5-9B,24,sensory,T_neutral,T_prompt_primary,10,0.4319200869254973,0.42857142857142855,1.8409340165408126,aggregate
Qwen/Qwen3.5-9B,25,sensory,T_neutral,T_prompt_primary,5,0.4428434444615674,0.42857142857142855,0.9579288025889967,aggregate
Qwen/Qwen3.5-9B,25,sensory,T_neutral,T_prompt_primary,10,0.4068797078505816,0.42857142857142855,1.8855700244858817,aggregate
Qwen/Qwen3.5-9B,26,sensory,T_neutral,T_prompt_primary,5,0.40803453707984455,0.42857142857142855,0.9830996044588277,aggregate
Qwen/Qwen3.5-9B,26,sensory,T_neutral,T_prompt_primary,10,0.3700287141002722,0.3333333333333333,1.9838313984349583,aggregate
Qwen/Qwen3.5-9B,27,sensory,T_neutral,T_prompt_primary,5,0.2921696546292015,0.25,1.2731301690039554,aggregate
Qwen/Qwen3.5-9B,27,sensory,T_neutral,T_prompt_primary,10,0.2968751318416171,0.25,2.228190870019349,aggregate
Qwen/Qwen3.5-9B,28,sensory,T_neutral,T_prompt_primary,5,0.37547944384513965,0.42857142857142855,1.066235167206041,aggregate
Qwen/Qwen3.5-9B,28,sensory,T_neutral,T_prompt_primary,10,0.3425769814237056,0.3333333333333333,2.092895455557268,aggregate
Qwen/Qwen3.5-9B,29,sensory,T_neutral,T_prompt_primary,5,0.3045367373846338,0.25,1.310796476087738,aggregate
Qwen/Qwen3.5-9B,29,sensory,T_neutral,T_prompt_primary,10,0.27311165399926707,0.25,2.241542524956764,aggregate
Qwen/Qwen3.5-9B,30,sensory,T_neutral,T_prompt_primary,5,0.32768916628139927,0.25,1.2523193096008631,aggregate
Qwen/Qwen3.5-9B,30,sensory,T_neutral,T_prompt_primary,10,0.29292469707220176,0.25,2.19807944213284,aggregate
Qwen/Qwen3.5-9B,31,sensory,T_neutral,T_prompt_primary,5,0.35415917535658636,0.25,1.1317511686443724,aggregate
Qwen/Qwen3.5-9B,31,sensory,T_neutral,T_prompt_primary,10,0.3292948079047751,0.3333333333333333,2.190742024965326,aggregate
Qwen/Qwen3.5-9B,32,sensory,T_neutral,T_prompt_primary,5,0.317513826818034,0.25,1.2729323984178353,aggregate
Qwen/Qwen3.5-9B,32,sensory,T_neutral,T_prompt_primary,10,0.3072707646121836,0.25,2.3363125203335557,aggregate
Qwen/Qwen3.5-9B,0,sensory,T_neutral,T_prompt_primary,5,1.0,1.0,0.0,aggregate
Qwen/Qwen3.5-9B,0,sensory,T_neutral,T_prompt_primary,10,1.0,1.0,0.0,aggregate
Qwen/Qwen3.5-9B,1,sensory,T_neutral,T_prompt_primary,5,0.45717753120665744,0.42857142857142855,0.7506292700467458,aggregate
Qwen/Qwen3.5-9B,1,sensory,T_neutral,T_prompt_primary,10,0.7271565184186544,0.6666666666666666,2.037352956284995,aggregate
Qwen/Qwen3.5-9B,2,sensory,T_neutral,T_prompt_primary,5,0.589966353315868,0.6666666666666666,0.39876842862279754,aggregate
Qwen/Qwen3.5-9B,2,sensory,T_neutral,T_prompt_primary,10,0.6423580015813026,0.6666666666666666,1.3964422698241468,aggregate
Qwen/Qwen3.5-9B,3,sensory,T_neutral,T_prompt_primary,5,0.5275209328607388,0.42857142857142855,1.348633585041352,aggregate
Qwen/Qwen3.5-9B,3,sensory,T_neutral,T_prompt_primary,10,0.5665928821268627,0.5384615384615384,2.0113769456002464,aggregate
Qwen/Qwen3.5-9B,4,sensory,T_neutral,T_prompt_primary,5,0.1194756939093509,0.1111111111111111,2.651339446242359,aggregate
Qwen/Qwen3.5-9B,4,sensory,T_neutral,T_prompt_primary,10,0.15799723268513033,0.17647058823529413,3.32894256947655,aggregate
Qwen/Qwen3.5-9B,5,sensory,T_neutral,T_prompt_primary,5,0.2287118371260766,0.25,1.7473480762315712,aggregate
Qwen/Qwen3.5-9B,5,sensory,T_neutral,T_prompt_primary,10,0.2186085832673747,0.17647058823529413,2.757025992705604,aggregate
Qwen/Qwen3.5-9B,6,sensory,T_neutral,T_prompt_primary,5,0.14798762007499874,0.1111111111111111,1.9314994606256741,aggregate
Qwen/Qwen3.5-9B,6,sensory,T_neutral,T_prompt_primary,10,0.16878634372397333,0.17647058823529413,2.719988313556275,aggregate
Qwen/Qwen3.5-9B,7,sensory,T_neutral,T_prompt_primary,5,0.18899933220321571,0.1111111111111111,1.7090165408126574,aggregate
Qwen/Qwen3.5-9B,7,sensory,T_neutral,T_prompt_primary,10,0.21203033933228208,0.17647058823529413,2.6048967483433505,aggregate
Qwen/Qwen3.5-9B,8,sensory,T_neutral,T_prompt_primary,5,0.1890763856783274,0.1111111111111111,2.004539733908666,aggregate
Qwen/Qwen3.5-9B,8,sensory,T_neutral,T_prompt_primary,10,0.19169178800392045,0.17647058823529413,2.900906020444855,aggregate
Qwen/Qwen3.5-9B,9,sensory,T_neutral,T_prompt_primary,5,0.11338418862690708,0.1111111111111111,2.878730672419993,aggregate
Qwen/Qwen3.5-9B,9,sensory,T_neutral,T_prompt_primary,10,0.151412831669477,0.1111111111111111,3.41862510915909,aggregate
Qwen/Qwen3.5-9B,10,sensory,T_neutral,T_prompt_primary,5,0.15924598893854558,0.1111111111111111,2.221862639338368,aggregate
Qwen/Qwen3.5-9B,10,sensory,T_neutral,T_prompt_primary,10,0.19050134688316378,0.17647058823529413,2.8349527405352646,aggregate
Qwen/Qwen3.5-9B,11,sensory,T_neutral,T_prompt_primary,5,0.18834009691614867,0.1111111111111111,1.9080276878820568,aggregate
Qwen/Qwen3.5-9B,11,sensory,T_neutral,T_prompt_primary,10,0.218945074677889,0.17647058823529413,3.132599398982894,aggregate
Qwen/Qwen3.5-9B,12,sensory,T_neutral,T_prompt_primary,5,0.20955548706357768,0.1111111111111111,1.944498381877023,aggregate
Qwen/Qwen3.5-9B,12,sensory,T_neutral,T_prompt_primary,10,0.22381806545492455,0.17647058823529413,2.86104904025616,aggregate
Qwen/Qwen3.5-9B,13,sensory,T_neutral,T_prompt_primary,5,0.22918485984829026,0.25,1.6248381877022653,aggregate
Qwen/Qwen3.5-9B,13,sensory,T_neutral,T_prompt_primary,10,0.25227149988815,0.25,2.6545930292289515,aggregate
Qwen/Qwen3.5-9B,14,sensory,T_neutral,T_prompt_primary,5,0.25201623259875683,0.25,1.43344120819849,aggregate
Qwen/Qwen3.5-9B,14,sensory,T_neutral,T_prompt_primary,10,0.2604481298886501,0.25,2.5710272512456975,aggregate
Qwen/Qwen3.5-9B,15,sensory,T_neutral,T_prompt_primary,5,0.14908563209534084,0.1111111111111111,2.3838906868033085,aggregate
Qwen/Qwen3.5-9B,15,sensory,T_neutral,T_prompt_primary,10,0.18461739419187292,0.17647058823529413,3.303443006112909,aggregate
Qwen/Qwen3.5-9B,16,sensory,T_neutral,T_prompt_primary,5,0.22350002568449168,0.25,1.6827580007191658,aggregate
Qwen/Qwen3.5-9B,16,sensory,T_neutral,T_prompt_primary,10,0.24785002280693968,0.25,2.8062817845584838,aggregate
Qwen/Qwen3.5-9B,17,sensory,T_neutral,T_prompt_primary,5,0.20806150579613364,0.25,1.8726447321107516,aggregate
Qwen/Qwen3.5-9B,17,sensory,T_neutral,T_prompt_primary,10,0.22313568744305062,0.17647058823529413,2.84966867005702,aggregate
Qwen/Qwen3.5-9B,18,sensory,T_neutral,T_prompt_primary,5,0.2525149398126744,0.25,1.6437792161093132,aggregate
Qwen/Qwen3.5-9B,18,sensory,T_neutral,T_prompt_primary,10,0.2633235942034423,0.25,2.7118593859694182,aggregate
